eOthello_game_id,winner,game_moves
442179,1,f5f6e6d6c5e3d3f4e2c3c4c6g4d2g6g5e7d7g3f3h5h3c1h4f2h6f7f8e8d8c2g8b3e1d1f1g1g2b4b5h1h2a6a4g7a3b2a2b1h8c7b8c8b7a1b6a5a7a8h7
442305,1,c4e3f5c5f4e6d3c3d6c6e2f3d2g4g3f6h4d1e7d7g6f7f8e1c2c1e8g5c7f2b6h5h6h3h2g8h8a6b5b3b2a5a4h7g7h1a3b4b1d8f1b7c8b8a7a8g2g1a1a2
433503,1,f5d6c5f4e3g6f3c3d3c4e6c2d2b4c6f6b5a5b3e2a3c7b6b2g5d7g4e7f2h6h5h4a1g3e1d1f1g2h1g1c1b7h2a4h3a6h7g7a7a2a8b1b8c8d8f8e8f7g8h8
431997,1,f5d6c4d3c3f4c5b3f3b5d7c6b4e6e7a4c7f6e3f7g5b6f8d8d2e8c2e2a3g8a5g6f1h5b8g4f2e1d1g3h3g1h1h2g2h4a6b2a1a2h6g7c8a8h7h8c1a7b7b1
427195,-1,f5f6e6d6e7g5g6f3c6c7c8f7f8g4h4h6g3e8d8d7e2f4c5h3h2f2e1f1g1d2d3c3d1e3c4b3b5b6g8h5c2a5b4g7h8h7a3a4a7a6b7b2a1a2b1c1g2a8b8h1
398046,-1,e6f4c3c4d3c2b4a5e2e3d2c5f5d1f3e1b5c6a4a3f2a6c1b1b3d6f1g1d7g4h3h5g3g5f6h4h6c7b6a7c8a2b7a8b8e7d8f8h2e8b2g6f7g8g7g2h7h8
422184,1,f5d6c4g5c6c5b6c3e3b5d7d3a5e6b4b3c2a4a3f3f4a7f7c7f6g4d2e8e2f2g3e7e1g6a6a2h4d1h7h6h5h2g7g1h3h8f1b2d8b8c8b7a8g2a1b1h1g8f8c1
419256,1,f5d6c3f4f6c4e3g5f3e2d3c2e6f2d2e1c5b4c6g3h6g6g4d7f1g1h3g7e7e8h7f7b5h5h4b7h8g8b6a5f8a7a6c7b8c8a8h2c1d1a3b1h1b3g2a4d8a2a1b2
407203,-1,f5d6c5f4e3c6d3f6e6c3c4d7g4b5b3g3g5f3g6b4f2h6a6a5a4h5h4h3b6h2c7f1e8c8f7f8d8e7g7e2h7h8g8b7e1a7g1d1c1d2c2a3a8b8a2b2a1b1g2h1
399995,1,f5d6c4d3c3f4f6f3e6e7d7g6d8c5c6b4g5h6e3e2c2b5b6f7g4h5g3h2g8c8c7f8e8h8g7a7h3h4h7b2h1c1a5d2f2g1a6b7d1e1b3a2f1g2a8b8b1a1a3a4
